"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Staphylospora marina",45,0,71,36,13,15
"Novibacillus thermophilus",42,0,44,0,23,0
"Polycladomyces abyssicola",18,0,57,11,22,0
"Hydrogenibacillus sp. N12",12,0,22,0,17,0
"Listeria monocytogenes",24,31,113,59,22,28
"Paenilisteria newyorkensis",10,0,75,0,14,0
"Brochothrix thermosphacta",11,0,0,15,0,0
"Gemella sanguinis",30,44,15,1479,184,52
"Pseudalkalibacillus sp. Hm43",18,0,0,0,0,0
"Holdemania massiliensis",8188,550,7376,2588,7722,755
"Hoskinsella hominis",1272,58,1017,691,1723,536
"Longicatena caecimuris",455,35,409,1196,825,226
"Faecalibaculum rodentium",91,0,156,92,60,97
"Amedibacterium intestinale",96,28,79,540,231,205
"Allobaculum sp. Allo2",47,0,110,51,14,17
"Allobaculum mucilyticum",20,134,62,54,114,50
"Massilimicrobiota timonensis",249,196,595,735,398,628
"Solobacterium moorei",56,28,43,943,84,56
"Intestinibaculum porci",24,15,40,637,415,101
"Faecalibacillus intestinalis",1157,12306,1006,277522,180772,26182
"Thomasclavelia ramosa",659,173,610,6460,1408,759
"Erysipelatoclostridium sp. An173",30,0,167,448,766,83
"Thomasclavelia spiroformis",20,123,10,150,169,99
"Catenibacterium mitsuokai",102,0,100,3376,498,328
"Catenibacterium sp. co_0103",71,117,21,1086,1194,3305
"Tannockella kyphosi",19,0,13,171,75,49
"Turicibacter bilis",103,14,371,3288,579,8526
"Murdochiella vaginalis",353,38,1498,718,503,255
"Parvimonas micra",69,0,94,1855,940,90
"Helcococcus ovis",48,23,60,35,52,25
"Helcococcus kunzii",11,0,0,56,23,15
"Aedoeadaptatus ivorii",54,0,99,20,49,19
"Anaerococcus sp. AH8042_DFU013_CI05",23,0,0,0,0,85
"Anaerococcus sp. Marseille-Q7828",13,19,0,0,36,23
"Peptoniphilus equinus",19,0,65,97,47,21
"Peptoniphilus lacrimalis",19,0,0,44,33,23
"Finegoldia magna",17,70,30,90,95,55
"Tissierella carlieri",114,0,136,21,29,11
"Keratinibaculum paraultunense",17,0,0,34,12,0
"Acidilutibacter cellobiosedens",16,16,162,0,55,11
"Carboxydichorda subterranea",35,0,95,0,13,0
"Geochorda subterranea",13,0,220,0,0,15
"Limnochorda pilosa",34,0,63,0,23,16
"Caldicellulosiruptor obsidiansis",38,0,0,96,0,30
"Caldicellulosiruptor owensensis",17,0,22,0,0,130
"Candidatus Contubernalis alkaliaceticus",59,0,13,0,0,0
"Collinsella aerofaciens",356082,19315,42049,273557,281069,162819
"Collinsella sp. i05-0019-G5",52395,1928,4579,31492,36742,15217
"Collinsella sp. zg1085",21,51,37,41,47,23
"Collinsella stercoris",1152,11176,393,470,735,696
"Enorma phocaeensis",941,997,409,171,307,135
"Coriobacterium glomerans",87,93,125,16,48,44
"Parolsenella catena",582,210,623,264,996,393
"Olsenella uli",261,107,473,246,346,179
"Olsenella sp. oral taxon 807",191,143,265,865,125,108
"Parafannyhessea umbonata",456,127,1307,271,578,594
"Thermophilibacter mediterraneus",268,347,862,76,871,340
"Thermophilibacter immobilis",181,140,768,34,523,296
"Fannyhessea vaginae",284,103,53,79,109,140
"Lancefieldella parvula",100,0,67,267,88,41
"Lancefieldella sp. Marseille-Q7238",46,27,77,40,40,51
"Atopobium sp. oral taxon 416",67,31,183,76,79,82
"Leptogranulimonas caecicola",62,33,133,18,69,48
"Adlercreutzia equolifaciens",17139,51,450,10164,1061,7619
"Adlercreutzia hattorii",17234,31,773,7975,4746,21136
"Eggerthella lenta",8807,552,1349,322606,5011,6373
"Eggerthella sp. YY7918",639,28,174,167,173,59
"Eggerthella guodeyinii",305,166,149,5021,210,106
"Gordonibacter pamelaeae",986,98,672,55131,1324,433
"Gordonibacter urolithinfaciens",548,329,267,3664,161,94
"Slackia heliotrinireducens",494,170,243,188,233,203
"Slackia exigua",322,100,164,160,160,103
"Berryella intestinalis",375,379,392,24,152,116
"Berryella wangjianweii",179,20,89,49,95,41
"Raoultibacter timonensis",525,46,223,131,995,152
"Denitrobacterium detoxificans",458,20,96,25,93,59
"Arabiibacter massiliensis",408,357,329,408,194,130
"Xiamenia xianingshaonis",328,20,118,61,187,80
"Cryptobacterium curtum",93,0,30,20,51,0
"Umbribacter vaginalis",51,0,16,0,27,17
"Phoenicibacter congonensis",30,26,40,33,95,12
"Bifidobacterium adolescentis",152394,452,477536,172655,874912,628866
"Bifidobacterium longum",97123,6352,114928,740497,29455,462915
"Bifidobacterium catenulatum",1225,33,3569,4191,7278,4488
"Bifidobacterium angulatum",615,0,400,583,4042,460
"Bifidobacterium pullorum",570,0,66,676,33,49
"Bifidobacterium dentium",453,75,702,589,1381,807
"Bifidobacterium sp. ESL0769",196,0,61,0,33,0
"Bifidobacterium sp. ESL0728",21,0,0,0,14,0
"Bifidobacterium sp. ESL0798",57,0,0,0,0,0
"Bifidobacterium sp. ESL0775",14,0,25,54,12,0
"Bifidobacterium pseudocatenulatum",461,206,1578,109509,12410,2486
"Bifidobacterium breve",589,120,986,2853,1085,1356
"Bifidobacterium bifidum",643,11073,145519,1491,4725,107102
"Bifidobacterium pseudolongum",125,48,118,28,73,165
"Bifidobacterium animalis",795,0,15321,0,1898,6880
"Bifidobacterium thermophilum",71,0,152,142,331,38
"Bifidobacterium asteroides",87,0,53,0,0,0
"Bifidobacterium eulemuris",52,0,53,10,23,137
"Bifidobacterium crudilactis",31,0,31,20,19,18
"Bifidobacterium choerinum",27,0,0,17,37,17
"Bifidobacterium imperatoris",31,228,72,15,44,67
"Bifidobacterium scardovii",24,0,109,34,106,94
"Bifidobacterium lemurum",21,0,22,19,63,97
"Bifidobacterium subtile",16,10,44,16,24,28
"Bifidobacterium saguini",18,0,118,31,127,119
"Scardovia wiggsiae",32,39,10,172,76,0
"Parascardovia denticolens",11,27,10,53,0,0
"Mycobacterium canetti",6753,7571,6939,11564,4680,2748
"Mycobacterium sp. HUMS_1102779",58,0,42,0,0,0
"Mycobacterium sp. JS623",46,0,0,0,0,0
"Mycobacterium sp. Dal123C01",32,0,74,0,0,0
"Mycobacterium sp. SMC-11",19,0,0,0,0,0
"Mycobacterium sp. HM-7",14,0,0,0,0,0
"Mycobacterium spongiae",148,0,43,84,0,11
"Mycobacterium parmense",13,0,0,0,0,0
"Mycobacterium basiliense",34,0,20,0,0,0
"Mycobacterium kansasii",15,0,0,0,0,0
"Mycobacterium cookii",12,0,0,0,0,0
"Mycolicibacterium madagascariense",112,0,62,0,0,0
"Mycolicibacterium phlei",79,16,57,65,12,13
"Mycolicibacterium psychrotolerans",62,0,29,0,0,0
"Mycolicibacterium litorale",46,0,19,0,0,0
"Mycolicibacterium fortuitum",26,0,0,62,0,0
"Mycolicibacterium sarraceniae",21,0,12,0,0,0
"Mycolicibacterium sp. CBMA 213",13,0,0,0,0,0
"Mycolicibacterium smegmatis",21,0,34,63,44,13
"Mycolicibacterium doricum",19,0,0,0,0,0
"Mycolicibacterium fluoranthenivorans",15,0,0,0,0,24
"Mycolicibacterium aurum",14,0,12,0,0,0
"Mycolicibacterium brumae",14,0,0,0,0,0
"Mycolicibacterium thermoresistibile",13,0,12,0,0,0
"Mycolicibacterium poriferae",13,0,0,0,0,18
"Mycolicibacterium rhodesiae",11,0,0,0,12,0
"Mycobacteroides abscessus",56,0,27,51,32,54
"Mycobacteroides chelonae",19,0,21,0,23,0
"Corynebacterium sphenisci",344,0,439,18,0,0
"Corynebacterium urealyticum",88,0,30,0,12,12
"Corynebacterium pyruviciproducens",90,0,398,17,99,59
"Corynebacterium massiliense",77,0,11,0,0,0
"Corynebacterium kroppenstedtii",93,0,44,0,0,39
"Corynebacterium jeikeium",79,0,0,0,0,0
"Corynebacterium sp. CQ3829_602738",103,0,70,0,0,0
"Corynebacterium ureicelerivorans",62,0,0,38,0,0
"Corynebacterium atypicum",49,0,0,0,0,0
"Corynebacterium tuberculostearicum",145,0,122,0,0,73
"Corynebacterium glucuronolyticum",44,0,37,10,0,18
"Corynebacterium dentalis",40,0,14,0,10,0
"Corynebacterium jeddahense",49,0,25,0,0,0
"Corynebacterium xerosis",47,0,91,0,0,0
"Corynebacterium belfantii",102,0,0,0,90,0
"Corynebacterium poyangense",32,0,39,54,0,18
"Corynebacterium comes",36,0,0,0,0,0
"Corynebacterium liangguodongii",33,0,11,0,0,0
"Corynebacterium variabile",31,0,0,0,0,0
"Corynebacterium riegelii",28,0,0,155,0,0
"Corynebacterium mycetoides",34,0,14,0,0,0
"Corynebacterium urogenitale",24,0,34,0,31,0
"Corynebacterium ciconiae",23,0,0,0,0,0
"Corynebacterium terpenotabidum",23,16,0,0,0,0
"Corynebacterium endometrii",22,0,18,0,0,0
"Corynebacterium amycolatum",137,0,86,258,0,0
"Corynebacterium zhongnanshanii",19,11,13,0,0,0
"Corynebacterium minutissimum",36,0,0,0,0,49
"Corynebacterium doosanense",16,0,0,0,0,0
"Corynebacterium suedekumii",17,0,26,0,0,0
"Corynebacterium macginleyi",17,0,0,0,19,0
"Corynebacterium uterequi",12,0,0,0,0,0
"Corynebacterium marinum",16,0,0,0,0,0
"Corynebacterium coyleae",13,0,16,70,0,0
"Corynebacterium durum",11,0,25,1649,63,43
"Corynebacterium simulans",17,23,27,17,54,0
"Corynebacterium pseudodiphtheriticum",14,0,0,0,0,0
"Corynebacterium lactis",10,0,33,0,0,0
"Corynebacterium stationis",11,0,90,0,0,0
"Nocardia sp. CA-129566",133,0,53,0,0,0
"Nocardia sp. NBC_00565",23,0,0,0,0,0
"Nocardia sp. NBC_00416",16,163,11,0,0,0
"Nocardia sp. NBC_01499",16,0,15,0,0,0
"Nocardia sp. CA-119907",31,0,0,0,0,0
"Nocardia sp. NBC_01327",22,0,0,0,0,0
"Nocardia asteroides",68,0,38,37,48,38
"Nocardia arthritidis",60,0,15,0,11,0
"Nocardia brasiliensis",29,0,108,0,48,37
"Nocardia gipuzkoensis",24,0,0,0,18,0
"Nocardia cyriacigeorgica",19,0,13,15,0,0
"Nocardia yamanashiensis",17,0,16,0,0,21
"Nocardia wallacei",12,0,35,0,0,0
"Nocardia terpenica",11,0,0,0,11,0
"Rhodococcus sp. SGAir0479",84,0,41,0,0,0
"Rhodococcus sp. ABRD24",20,0,0,0,0,0
"Rhodococcus koreensis",193,0,0,0,0,0
"Rhodococcus rhodochrous",156,0,0,0,0,0
"Rhodococcus sovatensis",20,0,26,0,0,0
"Rhodococcus opacus",59,0,61,0,30,0
"Rhodococcoides fascians",24,0,17,12,25,0
"Gordonia westfalica",111,0,153,0,0,54
"Gordonia sp. X0973",32,24,13,0,0,0
"Gordonia amarae",15,0,0,0,0,0
"Gordonia alkanivorans",39,0,0,0,0,0
"Gordonia hydrophobica",12,0,19,0,0,0
"Gordonia terrae",11,0,61,0,67,0
"Skermania pinensis",26,0,0,0,0,0
"Segniliparus rotundus",71,0,0,10,0,0
"Tsukamurella tyrosinosolvens",38,0,31,0,10,0
"Tomitella gaofuii",11,0,28,0,0,0
"Streptomyces sp. AHU1",126,0,0,0,0,0
"Streptomyces sp. NBC_01244",119,0,0,0,0,0
"Streptomyces sp. P3",99,0,0,0,0,0
"Streptomyces sp. CA-210063",98,0,27,0,0,53
"Streptomyces sp. NBC_00370",70,0,40,0,16,35
"Streptomyces sp. NBC_01276",83,0,18,0,0,0
"Streptomyces sp. NBC_00445",219,0,91,0,0,0
"Streptomyces sp. NBC_01410",99,0,156,0,0,0
"Streptomyces sp. SGAir0957",52,0,20,0,14,0
"Streptomyces sp. NBC_00631",54,0,28,0,0,26
"Streptomyces sp. NBC_01310",85,0,0,0,0,0
"Streptomyces sp. BR1",45,0,0,0,0,0
"Streptomyces sp. NBC_01429",41,0,12,0,0,0
"Streptomyces sp. T12",51,0,0,0,37,0
"Streptomyces sp. NBC_00513",43,12,0,0,28,0
"Streptomyces sp. 184",35,0,29,0,0,0
"Streptomyces sp. NBC_01601",116,0,0,0,0,0
"Streptomyces sp. DSM 40750",40,0,0,0,0,0
"Streptomyces sp. NBC_01351",35,0,0,0,0,0
"Streptomyces sp. SS7",35,0,64,0,0,0
"Streptomyces sp. NBC_00289",31,0,26,0,0,0
"Streptomyces sp. HUAS TT3",31,0,20,21,0,0
"Streptomyces sp. NHF165",26,0,19,0,0,0
"Streptomyces sp. NBC_00588",34,0,45,0,0,0
"Streptomyces sp. NBC_00385",47,0,45,0,0,0
"Streptomyces sp. NBC_00557",32,0,36,60,0,0
"Streptomyces sp. NBC_01361",54,0,0,0,0,0
"Streptomyces sp. Pv4-95",26,0,0,0,0,0
"Streptomyces sp. NBC_01334",45,0,26,44,0,179
"Streptomyces sp. CL7",64,0,0,0,0,0
"Streptomyces sp. NA04227",23,0,21,0,0,0
"Streptomyces sp. LZ34",26,0,73,0,0,0
"Streptomyces sp. NBC_01298",29,0,21,0,0,0
"Streptomyces sp. NBC_01317",25,0,0,16,0,0
"Streptomyces sp. A5-4",22,0,36,0,60,0
"Streptomyces sp. NBC_01497",20,0,40,0,0,16
"Streptomyces sp. MUM 178J",22,0,12,0,0,0
"Streptomyces sp. NBC_00090",28,0,0,0,0,0
"Streptomyces sp. CG4",26,51,21,0,0,0
"Streptomyces sp. Qhu_M48",26,0,0,0,0,0
"Streptomyces sp. NBC_01020",320,0,0,0,0,0
"Streptomyces sp. W1SF4",24,0,0,0,0,0
"Streptomyces sp. BBFR109",61,0,0,0,0,0
"Streptomyces sp. SX92",23,0,0,30,0,0
"Streptomyces sp. NBC_01255",24,0,0,0,0,0
"Streptomyces sp. R41",22,0,0,0,0,0
"Streptomyces sp. NBC_00015",33,0,0,0,0,0
"Streptomyces sp. NBC_00286",17,0,0,0,0,0
"Streptomyces sp. Go-475",27,0,19,0,0,20
"Streptomyces sp. NBC_00390",17,0,20,0,0,0
"Streptomyces sp. NBC_00536",18,0,16,0,0,0
"Streptomyces sp. JL2001",18,0,27,0,0,0
"Streptomyces sp. NBC_00704",19,0,0,0,0,0
"Streptomyces sp. SCSIO 75703",18,515,0,0,0,0
"Streptomyces sp. SCSIO ZS0520",15,0,0,0,20,0
"Streptomyces sp. YPW6",26,0,0,0,0,0
"Streptomyces sp. NBC_00358",92,0,0,0,0,0
"Streptomyces sp. NBC_01166",21,0,0,28,0,0
"Streptomyces sp. RTd22",18,0,0,0,0,0
"Streptomyces sp. NBC_01304",13,0,44,0,0,0
"Streptomyces sp. CA-111067",14,0,0,0,0,0
"Streptomyces sp. SH5",32,0,0,0,0,0
"Streptomyces sp. NBC_00464",31,0,80,0,0,0
"Streptomyces sp. NBC_01803",12,0,15,0,0,0
"Streptomyces sp. Qhu-G9",16,0,0,0,0,0
"Streptomyces sp. WZ-12",13,0,0,0,0,0
"Streptomyces sp. NBC_01478",17,0,31,0,0,0
"Streptomyces sp. NBC_00582",15,0,34,18,0,21
"Streptomyces sp. ITFR-6",20,0,0,0,0,0
"Streptomyces sp. NBC_01465",12,0,12,0,0,0
"Streptomyces sp. NBC_00659",25,0,0,0,0,0
"Streptomyces sp. GMY02",12,0,0,0,0,0
"Streptomyces sp. NBC_01426",17,0,0,0,0,0
"Streptomyces incarnatus",633,0,199,0,0,0
"Streptomyces boninensis",221,0,35,0,0,0
"Streptomyces pristinaespiralis",172,0,113,22,0,0
"Streptomyces canus",187,47,66,0,42,0
"Streptomyces anulatus",172,334,65,99,0,29
"Streptomyces microflavus",86,0,0,0,0,0
"Streptomyces graminofaciens",20,0,0,0,0,0
"Streptomyces sp. enrichment culture",224,122,386,114,204,89
"Streptomyces ambofaciens",121,0,65,0,0,42
"Streptomyces citrinus",91,444,45,0,0,0
"Streptomyces noursei",104,0,69,0,0,0
"Streptomyces halobius",60,0,83,126,0,23
"Streptomyces venezuelae",78,33,609,55,61,0
"Streptomyces xinghaiensis",55,0,34,0,20,13
"Streptomyces olivoreticuli",54,0,14,26,0,0
"Streptomyces chengbuensis",53,0,17,0,0,0
"Streptomyces ipomoeae",51,0,47,0,0,0
"Streptomyces phaeochromogenes",69,0,87,33,31,52
"Streptomyces hygroscopicus",24,19,0,0,0,0
"Streptomyces uncialis",34,0,0,0,0,0
"Streptomyces xanthophaeus",46,0,26,28,32,60
"Streptomyces changanensis",40,0,40,0,0,0
"Streptomyces zaomyceticus",43,0,23,20,0,0
"Streptomyces goshikiensis",172,0,71,0,0,0
"Streptomyces buecherae",39,0,0,0,0,0
"Streptomyces europaeiscabiei",39,0,14,0,0,0
"Streptomyces secundicynarae",29,0,17,19,0,0
"Streptomyces rimosus",23,0,0,0,0,0
"Streptomyces qinzhouensis",23,0,14,0,0,0
"Streptomyces harbinensis",68,0,0,0,0,0
"Streptomyces anthocyanicus",195,0,0,0,0,0
"Streptomyces durmitorensis",24,0,15,0,16,0
"Streptomyces avidinii",34,0,34,0,0,0
"Streptomyces spectabilis",25,0,117,0,0,0
"Streptomyces reniochalinae",23,0,0,0,0,0
"Streptomyces cyaneochromogenes",27,0,0,0,20,0
"Streptomyces chartreusis",38,169,32,41,0,0
"Streptomyces albus",20,0,13,0,0,0
"Streptomyces hundungensis",21,0,0,0,0,0
"Streptomyces xiamenensis",44,0,53,0,0,0
"Streptomyces celluloflavus",17,0,16,0,0,0
"Streptomyces clavuligerus",15,0,0,0,0,0
"Streptomyces violaceus",30,0,0,0,0,0
"Streptomyces lincolnensis",20,0,77,0,0,0
"Streptomyces niveus",18,0,19,20,19,13
"Streptomyces erythrochromogenes",21,0,0,0,0,0
"Streptomyces nigra",17,0,16,0,0,0
"Streptomyces achromogenes",23,0,0,0,0,0
"Streptomyces collinus",23,0,29,0,25,0
"Streptomyces hydrogenans",14,0,15,0,0,0
"Streptomyces ficellus",14,0,29,0,24,0
"Streptomyces spinosirectus",92,0,0,0,0,0
"Streptomyces angustmyceticus",17,0,33,0,0,0
"Kitasatospora sp. NBC_01300",49,0,15,0,0,0
"Kitasatospora sp. NBC_01539",40,0,61,0,0,0
"Kitasatospora sp. NBC_01560",46,0,0,0,30,0
"Kitasatospora sp. NBC_00458",34,0,126,0,0,0
"Kitasatospora purpeofusca",182,0,117,0,103,0
"Kitasatospora cathayae",75,0,60,29,13,64
"Kitasatospora papulosa",42,0,45,0,0,0
"Streptacidiphilus sp. P02-A3a",28,0,43,0,11,0
"Streptacidiphilus sp. PAMC 29251",21,0,25,0,0,0
"Streptacidiphilus sp. PB12-B1b",19,0,24,0,0,19
"Actinacidiphila sp. ITFR-21",26,0,18,0,0,0
"Actinacidiphila glaucinigra",21,0,35,0,23,0
"Actinacidiphila reveromycinica",21,16,0,0,0,0
"Embleya sp. MST-111070",15,0,0,12,13,0
"Microbacterium sp. H1-D42",99,0,12,0,0,0
"Microbacterium sp. HA-8",73,0,36,0,17,0
"Microbacterium sp. 10M-3C3",36,0,28,0,0,0
"Microbacterium sp. F51-2R",32,0,0,0,31,0
"Microbacterium sp. zg-B96",21,0,0,0,0,0
"Microbacterium sp. CGR1",214,0,0,0,0,0
"Microbacterium sp. KUDC0406",17,0,14,0,0,0
"Microbacterium sp. PMB16",18,0,0,0,0,0
"Microbacterium terricola",225,97,103,0,0,0
"Microbacterium lacus",140,0,0,0,0,0
"Microbacterium proteolyticum",66,0,27,0,0,29
"Microbacterium invictum",37,0,23,0,0,0
"Microbacterium aurum",32,0,25,21,0,0
"Microbacterium suwonense",24,0,19,0,85,0
"Microbacterium caowuchunii",23,0,0,0,0,0
"Microbacterium oxydans",55,126,55,0,0,0
"Microbacterium wangruii",21,0,0,0,0,0
"Microbacterium pygmaeum",17,0,42,42,22,68
"Microbacterium marinum",16,0,0,0,0,0
"Microbacterium oleivorans",16,0,0,0,0,0
"Microbacterium aurantiacum",14,0,0,0,0,0
"Leucobacter aridicollis",79,0,0,0,0,0
"Leucobacter sp. W1153",49,0,28,0,0,0
"Leucobacter sp. HNU",23,0,0,0,0,0
"Leucobacter rhizosphaerae",63,0,0,0,0,0
"Leucobacter coleopterorum",31,0,0,0,0,0
"Leucobacter triazinivorans",28,0,0,0,0,0
"Leucobacter luti",19,0,17,0,11,0
"Rathayibacter tritici",141,0,72,0,0,0
"Rathayibacter rathayi",60,0,30,0,0,0
"Rathayibacter iranicus",39,0,60,0,0,20
"Rathayibacter sp. VKM Ac-2760",14,0,0,0,0,0
"Rathayibacter tanaceti",24,0,0,0,35,0
"Salinibacterium sp. NYA9b",93,0,24,0,0,0
"Salinibacterium sp. M195",59,0,176,0,0,0
"Salinibacterium sp. TMP30",37,0,103,0,0,0
"Salinibacterium sp. dk2585",13,0,0,0,0,0
"Leifsonia sp. McL0618",84,0,57,0,0,0
"Leifsonia sp. NPDC080035",15,0,26,0,0,0
"Leifsonia sp. 21MFCrub1.1",16,0,41,0,0,20
"Leifsonia xyli",49,0,19,0,14,0
"Curtobacterium sp. SP.BCo",37,0,0,0,0,0
"Curtobacterium sp. 458",76,0,0,0,108,0
"Curtobacterium flaccumfaciens",24,0,74,0,0,0
"Protaetiibacter larvae",76,0,0,0,0,0
"Protaetiibacter intestinalis",68,0,0,0,0,0
"Cryobacterium breve",60,0,34,0,0,0
"Clavibacter michiganensis",28,0,0,0,29,0
"Clavibacter zhangzhiyongii",35,0,0,0,0,0
"Agrococcus sp. SL85",24,0,18,0,0,0
"Agrococcus carbonis",30,0,0,0,0,0
"Agromyces sp. MMS24-K17",15,0,0,0,0,0
"Agromyces soli",17,0,0,0,21,0
"Plantibacter sp. MPB07",40,0,0,0,0,0
"Lacisediminihabitans sp. FW035",41,0,0,0,0,0
"Humibacter ginsenosidimutans",29,0,30,67,0,38
"Microcella daejeonensis",21,0,0,0,0,0
"Gulosibacter sp. ACHW.36C",14,0,21,0,0,0
"Frigoribacterium sp. 2-23",13,0,0,0,0,0
"Gryllotalpicola protaetiae",20,0,0,0,0,0
"Microterricola viridarii",18,50,34,0,29,0
"Ruicaihuangia caeni",13,0,0,0,0,0
"Lysinibacter sp. HNR",11,0,0,0,0,0
"Rothia mucilaginosa",1038,390,1025,6070,460,581
"Rothia dentocariosa",40,70,76,355,77,47
"Rothia nasimurium",18,0,18,32,13,0
"Arthrobacter sp. YC-RL1",349,0,258,0,0,86
"Arthrobacter sp. G.S.26",157,31,0,0,34,0
"Arthrobacter sp. Helios",51,0,0,0,16,0
"Arthrobacter sp. R-11",32,0,0,0,0,0
"Arthrobacter sp. Z4-13",44,0,0,0,0,0
"Arthrobacter sp. Z1-15",25,0,0,0,0,0
"Arthrobacter sp. zg-Y1171",81,0,0,0,0,0
"Arthrobacter globiformis",120,0,0,0,0,31
"Arthrobacter gengyunqii",40,0,16,0,0,0
"Arthrobacter polaris",24,0,10,0,0,0
"Arthrobacter oryzae",12,0,14,0,0,0
"Pseudarthrobacter sp. N5",27,0,0,0,0,0
"Pseudarthrobacter sp. 1G09",24,0,0,0,0,0
"Pseudarthrobacter sp. P1",15,43,27,0,0,0
"Pseudarthrobacter sp. alpha12b",13,0,37,0,0,0
"Pseudarthrobacter sp. O4",14,0,0,0,0,0
"Pseudarthrobacter sp. L1SW",12,0,0,0,0,0
"Pseudarthrobacter oxydans",12,0,0,0,0,0
"Sinomonas sp. P47F7",31,0,64,113,0,43
"Sinomonas sp. R1AF57",79,0,41,0,0,0
"Paenarthrobacter sp. TA1.8",26,0,0,68,0,0
"Paenarthrobacter nicotinovorans",43,0,0,0,0,0
"Paenarthrobacter nitroguajacolicus",16,0,0,0,0,0
"Kocuria turfanensis",20,93,75,0,31,0
"Kocuria rhizophila",32,0,30,55,0,0
"Kocuria varians",12,0,0,15,0,0
"Micrococcus terreus",69,0,16,0,57,0
"Crystallibacter crystallopoietes",64,0,67,29,11,17
"Psychromicrobium lacuslunae",12,0,0,0,0,0
"Brevibacterium oceani",87,0,59,0,15,0
"Brevibacterium linens",51,0,0,0,0,0
"Brevibacterium pigmentatum",32,0,0,0,0,0
"Brevibacterium sandarakinum",12,0,41,17,0,0
"Saxibacter everestensis",166,0,77,79,21,13
"Terrabacter sp. C0L_2",154,0,20,30,0,59
"Phycicoccus jejuensis",147,0,117,0,0,0
"Phycicoccus sp. HDW14",16,0,19,0,0,0
"Janibacter alittae",28,0,19,0,0,0
"Janibacter melonis",12,0,0,0,0,0
"Pedococcus sp. KACC 23699",44,0,36,0,0,0
"Arsenicicoccus dermatophilus",19,0,28,0,12,0
"Isoptericola sp. AK164",124,0,0,0,0,0
"Isoptericola halotolerans",13,0,0,0,0,0
"Cellulosimicrobium sp. PMB13",30,0,0,0,0,0
"Cellulosimicrobium protaetiae",52,0,0,0,0,0
"Xylanimonas protaetiae",24,0,153,0,0,0
"Xylanimonas allomyrinae",22,0,0,0,34,0
"Xylanimonas sp. McL0601",19,0,0,0,0,0
"Promicromonospora sp. NFX87",41,0,30,0,0,0
"Promicromonospora sp. CA-289581",11,0,0,0,0,0
"Ornithinimicrobium ciconiae",141,0,48,0,0,34
"Ornithinimicrobium sp. Y1847",43,0,0,0,0,0
"Ornithinimicrobium sp. W1665",13,0,63,0,0,0
"Ornithinimicrobium faecis",13,0,0,0,0,0
"Ornithinimicrobium cryptoxanthini",13,0,32,0,0,0
"Ornithinimicrobium avium",11,0,0,0,0,0
"Cellulomonas sp. Y8",66,0,47,0,0,19
"Cellulomonas sp.",28,0,27,36,0,0
"Cellulomonas sp. C5510",34,0,20,0,0,0
"Cellulomonas fimi",23,0,48,17,21,0
"Cellulomonas iranensis",15,0,0,0,0,25
"Cellulomonas wangleii",14,0,39,0,0,0
"Brachybacterium sp. P6-10-X1",39,0,14,0,0,0
"Brachybacterium ginsengisoli",18,0,0,0,36,0
"Brachybacterium saurashtrense",13,0,58,0,0,0
"Demequina aurantiaca",34,0,0,0,0,0
"Demequina sp. TMPB413",17,0,0,0,0,0
"Gephyromycinifex aptenodytis",50,0,51,79,23,27
"Ruania zhangjianzhongii",12,31,0,0,0,0
"Occultella kanbiaonis",12,0,0,34,0,0
"Beutenbergia cavernae",20,0,0,0,0,0
"Miniimonas sp. S16",13,0,0,0,0,0
"Timonella sp. A28",23,0,0,0,0,0
"Kytococcus sedentarius",16,438,23,11,20,36
"Trueperella pyogenes",1129,28,348,84,76,274
"Trueperella abortisuis",12,0,11,0,0,0
"Schaalia odontolytica",438,191,935,11707,300,1203
"Schaalia cardiffensis",185,12,19,33,19,0
